luminance,p
0,0.007241
1,0.004069
2,0.000000
3,0.005124
4,0.006124
5,0.000287
6,0.007317
7,0.002881
8,0.004541
9,0.002698
10,0.002830
11,0.007317
12,0.002856
13,0.004670
14,0.002987
15,0.002772
16,0.005006
17,0.002935
18,0.003154
19,0.005572
20,0.003213
21,0.003356
22,0.006415
23,0.003559
24,0.003328
25,0.000306
26,0.006057
27,0.006300
28,0.000241
29,0.005981
30,0.003220
31,0.003143
32,0.005756
33,0.003239
34,0.003409
35,0.006111
36,0.003496
37,0.003489
38,0.000030
39,0.006694
40,0.003957
41,0.003635
42,0.007037
43,0.004028
44,0.003846
45,0.000019
46,0.007174
47,0.004365
48,0.000009
49,0.004720
50,0.000004
51,0.008854
52,0.005287
53,0.000007
54,0.005609
55,0.000004
56,0.010106
57,0.000000
58,0.006211
59,0.006194
60,0.000000
61,0.000000
62,0.011709
63,0.000019
64,0.006869
65,0.000000
66,0.007057
67,0.000002
68,0.000000
69,0.013498
70,0.000013
71,0.007915
72,0.000000
73,0.007985
74,0.000002
75,0.000000
76,0.000000
77,0.014220
78,0.000000
79,0.006885
80,0.006280
81,0.000000
82,0.006020
83,0.000002
84,0.000000
85,0.011459
86,0.005761
87,0.000000
88,0.005793
89,0.000007
90,0.000000
91,0.011122
92,0.005396
93,0.005296
94,0.000000
95,0.000000
96,0.010526
97,0.005359
98,0.000028
99,0.005389
100,0.000000
101,0.010237
102,0.000000
103,0.005180
104,0.005211
105,0.000006
106,0.000000
107,0.010237
108,0.005220
109,0.005250
110,0.000006
111,0.000000
112,0.010581
113,0.000000
114,0.005652
115,0.006063
116,0.000002
117,0.000000
118,0.011644
119,0.000002
120,0.006330
121,0.006048
122,0.000004
123,0.000000
124,0.012224
125,0.000004
126,0.006778
127,0.000000
128,0.006800
129,0.000004
130,0.000004
131,0.012867
132,0.000020
133,0.006957
134,0.000011
135,0.006909
136,0.000020
137,0.000019
138,0.013630
139,0.000026
140,0.007417
141,0.000007
142,0.007533
143,0.000009
144,0.000011
145,0.013752
146,0.000015
147,0.007452
148,0.000033
149,0.007730
150,0.000007
151,0.000015
152,0.000011
153,0.013194
154,0.006806
155,0.000011
156,0.006320
157,0.000011
158,0.000009
159,0.012120
160,0.000011
161,0.006406
162,0.006065
163,0.000022
164,0.000019
165,0.011706
166,0.000017
167,0.006046
168,0.005933
169,0.000019
170,0.000024
171,0.010807
172,0.000037
173,0.005406
174,0.005137
175,0.000043
176,0.009344
177,0.004626
178,0.000061
179,0.004359
180,0.000070
181,0.008063
182,0.003994
183,0.003981
184,0.000087
185,0.008115
186,0.004039
187,0.003963
188,0.000096
189,0.007330
190,0.007141
191,0.000135
192,0.006765
193,0.003226
194,0.003333
195,0.006019
196,0.002972
197,0.002887
198,0.002846
199,0.005602
200,0.005402
201,0.000159
202,0.007746
203,0.002450
204,0.005022
205,0.002452
206,0.002513
207,0.007009
208,0.002504
209,0.004787
210,0.004446
211,0.004522
212,0.002333
213,0.002363
214,0.006041
215,0.002130
216,0.005648
217,0.002096
218,0.006896
219,0.003520
220,0.003356
221,0.004346
222,0.004109
223,0.002854
224,0.004535
225,0.003778
226,0.003857
227,0.002809
228,0.004526
229,0.001628
230,0.006600
231,0.003404
232,0.000000
233,0.006980
234,0.005076
235,0.000000
236,0.007161
237,0.000000
238,0.000000
239,0.000000
240,0.000000
241,0.000011
242,0.022493
243,0.000028
244,0.000052
245,0.010283
246,0.000120
247,0.008185
248,0.000117
249,0.000543
250,0.013657
251,0.004393
252,0.004615
253,0.003578
254,0.000093
255,0.000211
