luminance,p
0,0.000000
1,0.000000
2,0.000000
3,0.000000
4,0.000000
5,0.000000
6,0.000000
7,0.000000
8,0.000025
9,0.000119
10,0.000212
11,0.000713
12,0.001563
13,0.003675
14,0.004913
15,0.006150
16,0.007081
17,0.008112
18,0.009394
19,0.009281
20,0.009800
21,0.008675
22,0.008381
23,0.009000
24,0.006044
25,0.008112
26,0.001962
27,0.007137
28,0.000562
29,0.006844
30,0.006900
31,0.000106
32,0.006069
33,0.005419
34,0.000000
35,0.005000
36,0.004525
37,0.004281
38,0.004012
39,0.003781
40,0.003581
41,0.006681
42,0.003256
43,0.003144
44,0.003119
45,0.006281
46,0.003244
47,0.003425
48,0.003244
49,0.003200
50,0.003500
51,0.007081
52,0.003325
53,0.003462
54,0.003500
55,0.003737
56,0.003550
57,0.003575
58,0.003475
59,0.003413
60,0.003550
61,0.003950
62,0.003800
63,0.004256
64,0.004406
65,0.004387
66,0.004731
67,0.004669
68,0.000000
69,0.005269
70,0.005344
71,0.005825
72,0.000000
73,0.006625
74,0.000000
75,0.007144
76,0.000000
77,0.007794
78,0.000000
79,0.008156
80,0.000000
81,0.007869
82,0.000000
83,0.008162
84,0.000000
85,0.007600
86,0.000000
87,0.006781
88,0.000000
89,0.006850
90,0.005906
91,0.005575
92,0.000000
93,0.005381
94,0.004956
95,0.005213
96,0.000000
97,0.004788
98,0.005188
99,0.005338
100,0.000000
101,0.005194
102,0.005206
103,0.005112
104,0.000000
105,0.005200
106,0.006000
107,0.000000
108,0.005525
109,0.006237
110,0.000000
111,0.006625
112,0.000000
113,0.007056
114,0.007044
115,0.000000
116,0.007406
117,0.000000
118,0.008000
119,0.000000
120,0.000000
121,0.009000
122,0.000000
123,0.009237
124,0.000000
125,0.009425
126,0.000000
127,0.000000
128,0.008950
129,0.000000
130,0.009169
131,0.000000
132,0.008837
133,0.000000
134,0.008494
135,0.000000
136,0.000000
137,0.008119
138,0.007550
139,0.000000
140,0.006844
141,0.000000
142,0.007200
143,0.000000
144,0.007431
145,0.000000
146,0.007831
147,0.000000
148,0.008394
149,0.000000
150,0.008512
151,0.000000
152,0.008688
153,0.000000
154,0.000000
155,0.008794
156,0.000000
157,0.009106
158,0.000000
159,0.009225
160,0.000000
161,0.000000
162,0.009562
163,0.000000
164,0.009144
165,0.000000
166,0.008563
167,0.000000
168,0.000000
169,0.008438
170,0.000000
171,0.008219
172,0.000000
173,0.008644
174,0.000037
175,0.008294
176,0.000087
177,0.009381
178,0.000056
179,0.000425
180,0.009306
181,0.000313
182,0.001175
183,0.010394
184,0.001169
185,0.009306
186,0.000881
187,0.001619
188,0.008363
189,0.001919
190,0.002500
191,0.008369
192,0.002612
193,0.007488
194,0.002131
195,0.007044
196,0.002806
197,0.006769
198,0.002419
199,0.007238
200,0.003063
201,0.005519
202,0.005744
203,0.003788
204,0.005450
205,0.005194
206,0.004931
207,0.003500
208,0.004969
209,0.004475
210,0.004644
211,0.004581
212,0.004319
213,0.004675
214,0.003306
215,0.004237
216,0.003400
217,0.003125
218,0.002537
219,0.002050
220,0.003031
221,0.003269
222,0.004006
223,0.003563
224,0.003981
225,0.004962
226,0.004588
227,0.005038
228,0.004975
229,0.003875
230,0.004100
231,0.004188
232,0.004444
233,0.003531
234,0.004213
235,0.004644
236,0.004862
237,0.004844
238,0.005406
239,0.006094
240,0.004719
241,0.005250
242,0.006188
243,0.005206
244,0.004581
245,0.002631
246,0.001950
247,0.001087
248,0.001119
249,0.000719
250,0.000156
251,0.000037
252,0.000000
253,0.000000
254,0.000000
255,0.000000
