luminance,p
0,0.007241
1,0.004069
2,0.005124
3,0.003500
4,0.002911
5,0.004715
6,0.002752
7,0.002731
8,0.004541
9,0.002756
10,0.002841
11,0.004774
12,0.002769
13,0.002824
14,0.004872
15,0.002769
16,0.002796
17,0.005074
18,0.002941
19,0.003126
20,0.005591
21,0.003187
22,0.003269
23,0.006513
24,0.003431
25,0.003441
26,0.006091
27,0.003285
28,0.003222
29,0.006026
30,0.003200
31,0.003119
32,0.005765
33,0.003257
34,0.003413
35,0.006152
36,0.003472
37,0.003470
38,0.006709
39,0.003943
40,0.003635
41,0.007048
42,0.004017
43,0.003865
44,0.007174
45,0.004374
46,0.004724
47,0.008854
48,0.005294
49,0.005613
50,0.010106
51,0.006211
52,0.006194
53,0.011728
54,0.006869
55,0.007059
56,0.013511
57,0.007915
58,0.007987
59,0.014220
60,0.006898
61,0.006267
62,0.006022
63,0.011478
64,0.005743
65,0.005800
66,0.011122
67,0.005406
68,0.005287
69,0.010537
70,0.005376
71,0.005389
72,0.010237
73,0.005180
74,0.005217
75,0.010237
76,0.005222
77,0.005254
78,0.010581
79,0.005652
80,0.006065
81,0.011644
82,0.006331
83,0.006048
84,0.012228
85,0.006780
86,0.006800
87,0.012887
88,0.006965
89,0.006935
90,0.013657
91,0.007430
92,0.007544
93,0.013774
94,0.007491
95,0.007730
96,0.013231
97,0.006811
98,0.006331
99,0.012126
100,0.006409
101,0.006091
102,0.011720
103,0.006050
104,0.005933
105,0.010828
106,0.005406
107,0.005130
108,0.009367
109,0.004641
110,0.004380
111,0.008111
112,0.003956
113,0.003985
114,0.008152
115,0.004002
116,0.003961
117,0.007337
118,0.003693
119,0.003494
120,0.006717
121,0.003194
122,0.003222
123,0.006041
124,0.002957
125,0.002885
126,0.002841
127,0.005613
128,0.002781
129,0.002674
130,0.005370
131,0.002550
132,0.002428
133,0.005072
134,0.002385
135,0.002404
136,0.004783
137,0.002376
138,0.002457
139,0.004793
140,0.002239
141,0.002259
142,0.004531
143,0.002246
144,0.002204
145,0.004133
146,0.001967
147,0.002009
148,0.004031
149,0.001785
150,0.001880
151,0.003650
152,0.001833
153,0.001730
154,0.003502
155,0.001737
156,0.001600
157,0.002993
158,0.001472
159,0.001456
160,0.002833
161,0.001369
162,0.001348
163,0.002420
164,0.001257
165,0.001294
166,0.002513
167,0.001313
168,0.001224
169,0.002630
170,0.001369
171,0.001441
172,0.002909
173,0.001622
174,0.001622
175,0.004202
176,0.002422
177,0.003380
178,0.006980
179,0.005076
180,0.007161
181,0.022504
182,0.010307
183,0.008181
184,0.014031
185,0.004259
186,0.002869
187,0.003333
188,0.001356
189,0.000893
190,0.000363
191,0.000281
192,0.000000
193,0.000000
194,0.000000
195,0.000000
196,0.000000
197,0.000000
198,0.000000
199,0.000000
200,0.000000
201,0.000000
202,0.000000
203,0.000000
204,0.000000
205,0.000000
206,0.000000
207,0.000000
208,0.000000
209,0.000000
210,0.000000
211,0.000000
212,0.000000
213,0.000000
214,0.000000
215,0.000000
216,0.000000
217,0.000000
218,0.000000
219,0.000000
220,0.000000
221,0.000000
222,0.000000
223,0.000000
224,0.000000
225,0.000000
226,0.000000
227,0.000000
228,0.000000
229,0.000000
230,0.000000
231,0.000000
232,0.000000
233,0.000000
234,0.000000
235,0.000000
236,0.000000
237,0.000000
238,0.000000
239,0.000000
240,0.000000
241,0.000000
242,0.000000
243,0.000000
244,0.000000
245,0.000000
246,0.000000
247,0.000000
248,0.000000
249,0.000000
250,0.000000
251,0.000000
252,0.000000
253,0.000000
254,0.000000
255,0.000000
