luminance,p
0,0.000539
1,0.000209
2,0.000157
3,0.000196
4,0.000177
5,0.000256
6,0.000331
7,0.000409
8,0.000683
9,0.001039
10,0.000934
11,0.001013
12,0.001246
13,0.001409
14,0.001576
15,0.001691
16,0.001818
17,0.002351
18,0.002263
19,0.001739
20,0.001717
21,0.002369
22,0.003740
23,0.005262
24,0.007012
25,0.009257
26,0.013272
27,0.007860
28,0.010539
29,0.009522
30,0.014404
31,0.015622
32,0.011666
33,0.012087
34,0.013821
35,0.012126
36,0.014529
37,0.017238
38,0.010601
39,0.009983
40,0.008836
41,0.009442
42,0.010355
43,0.008667
44,0.009410
45,0.010557
46,0.010076
47,0.011253
48,0.010821
49,0.010955
50,0.015942
51,0.014087
52,0.013968
53,0.015746
54,0.012531
55,0.010279
56,0.008691
57,0.007977
58,0.007373
59,0.007534
60,0.008253
61,0.007893
62,0.007820
63,0.009926
64,0.008096
65,0.007241
66,0.007950
67,0.009498
68,0.021257
69,0.006929
70,0.006135
71,0.005922
72,0.005941
73,0.005709
74,0.006080
75,0.006856
76,0.007290
77,0.006727
78,0.007896
79,0.008227
80,0.008854
81,0.009568
82,0.008860
83,0.009194
84,0.011350
85,0.012517
86,0.018370
87,0.018297
88,0.012809
89,0.010825
90,0.011521
91,0.011402
92,0.013090
93,0.011565
94,0.011122
95,0.011360
96,0.013224
97,0.013252
98,0.011810
99,0.013866
100,0.014118
101,0.017777
102,0.011941
103,0.010272
104,0.010786
105,0.009093
106,0.006898
107,0.006178
108,0.005667
109,0.005707
110,0.004622
111,0.004736
112,0.005776
113,0.011956
114,0.003585
115,0.003482
116,0.001404
117,0.001206
118,0.001060
119,0.000962
120,0.000916
121,0.000851
122,0.000828
123,0.000796
124,0.000606
125,0.000585
126,0.000559
127,0.000547
128,0.000491
129,0.000506
130,0.000452
131,0.000463
132,0.000466
133,0.000420
134,0.000399
135,0.000404
136,0.000386
137,0.000368
138,0.000372
139,0.000386
140,0.000358
141,0.000341
142,0.000330
143,0.000288
144,0.000305
145,0.000275
146,0.000272
147,0.000249
148,0.000256
149,0.000248
150,0.000249
151,0.000250
152,0.000238
153,0.000215
154,0.000207
155,0.000213
156,0.000209
157,0.000194
158,0.000185
159,0.000191
160,0.000172
161,0.000168
162,0.000163
163,0.000159
164,0.000148
165,0.000145
166,0.000133
167,0.000128
168,0.000106
169,0.000124
170,0.000102
171,0.000102
172,0.000093
173,0.000093
174,0.000083
175,0.000087
176,0.000096
177,0.000083
178,0.000082
179,0.000086
180,0.000086
181,0.000101
182,0.000095
183,0.000094
184,0.000090
185,0.000085
186,0.000086
187,0.000088
188,0.000081
189,0.000087
190,0.000077
191,0.000071
192,0.000077
193,0.000071
194,0.000073
195,0.000064
196,0.000081
197,0.000069
198,0.000072
199,0.000062
200,0.000060
201,0.000056
202,0.000059
203,0.000054
204,0.000054
205,0.000047
206,0.000058
207,0.000043
208,0.000037
209,0.000040
210,0.000042
211,0.000033
212,0.000038
213,0.000028
214,0.000033
215,0.000031
216,0.000030
217,0.000028
218,0.000028
219,0.000034
220,0.000030
221,0.000028
222,0.000026
223,0.000023
224,0.000022
225,0.000025
226,0.000023
227,0.000023
228,0.000017
229,0.000019
230,0.000020
231,0.000015
232,0.000015
233,0.000017
234,0.000011
235,0.000016
236,0.000010
237,0.000012
238,0.000015
239,0.000011
240,0.000006
241,0.000010
242,0.000004
243,0.000004
244,0.000008
245,0.000004
246,0.000005
247,0.000004
248,0.000003
249,0.000006
250,0.000005
251,0.000004
252,0.000001
253,0.000001
254,0.000000
255,0.000000
